system_name,articles_in_index,max_article_number,gap_count,gap_sample,duplicate_numbers,duplicate_text_groups,late_appended_articles,status,issues
نظام صندوق التنمية الزراعية.,16,16,0,,,,,سليم ظاهريًا,
تنظيم المؤسسة العامة للمحافظة على الشعب المرجانية والسلاحف في البحر الأحمر,16,16,0,,,,,سليم ظاهريًا,
نظام تركيز مسؤوليات القضاء الشرعي,258,258,0,,,,,سليم ظاهريًا,
نظام محاكمة الوزراء,27,27,0,,,,,سليم ظاهريًا,
نظام التحكيم,58,58,0,,,,,سليم ظاهريًا,
نظام هيئة التحقيق والادعاء العام ( نظام النيابة العامة ),30,30,0,,,,,سليم ظاهريًا,
نظام المحاماة,56,56,0,,,,,سليم ظاهريًا,
نظام الهيئة العامة للولاية على أموال القاصرين ومن فى حكمهم,41,41,0,,,,,سليم ظاهريًا,
نظام القضاء,85,85,0,,,,,سليم ظاهريًا,
نظام ديوان المظالم,26,26,0,,,,,سليم ظاهريًا,
تنظيم هيئة حقوق الإنسان,19,19,0,,,,,سليم ظاهريًا,
نظام مكافحة جرائم الاتجار بالأشخاص,17,17,0,,,,,سليم ظاهريًا,
نظام حماية الطفل,26,26,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للمحامين,20,20,0,,,,,سليم ظاهريًا,
تنظيم صندوق النفقة,17,17,0,,,,,سليم ظاهريًا,
النظام الأساسي للهيئة القضائية الاقتصادية لمجلس التعاون لدول الخليج العربية,41,41,0,,,,,سليم ظاهريًا,
لائحة أعضاء هيئة التحقيق والادعاء العام والعاملين فيها,30,30,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام التحكيم,19,19,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام التكاليف القضائية,17,17,0,,,,,سليم ظاهريًا,
آلية العمل التنفيذية لنظام القضاء ونظام ديوان المظالم,15,15,0,,,,,سليم ظاهريًا,
نظام التكاليف القضائية,23,23,0,,,,,سليم ظاهريًا,
نظام التنفيذ أمام ديوان المظالم,37,37,0,,,,,سليم ظاهريًا,
نظام الآثار والمتاحف والتراث العمراني,94,94,0,,,,,سليم ظاهريًا,
لائحة المحافظة على الذوق العام,10,10,0,,,,,سليم ظاهريًا,
نظام حماية التراث المخطوط في المملكة العربية السعودية,8,8,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية للمرشدين السياحيين,15,15,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية لمرافق الإيواء السياحي,15,15,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية للسفر والسياحة,15,15,0,,,,,سليم ظاهريًا,
نظام صندوق التنمية السياحي,15,15,0,,,,,سليم ظاهريًا,
تنظيم مجلس التنمية السياحي,13,13,0,,,,,سليم ظاهريًا,
تنظيم وزارة السياحة,5,5,0,,,,,سليم ظاهريًا,
نظام السياحة,19,19,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للبحر الأحمر,13,13,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للسياحة,15,15,0,,,,,سليم ظاهريًا,
نظام جمعية الكشافة العربية السعودية,19,19,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية للخيل العربية الأصيلة,9,9,0,,,,,سليم ظاهريًا,
النظام الأساسي للاتحادات الرياضية واللجنة الأولمبية العربية السعودية,17,17,0,,,,,سليم ظاهريًا,
إنشاء الهيئة العليا لأندية الفروسية,12,12,0,,,,,سليم ظاهريًا,
نظام أندية السيارات والدراجات النارية,13,13,0,,,,,سليم ظاهريًا,
تنظيم مركز الملك عبدالعزيز للخيل العربية الأصيلة,14,14,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للترفيه,16,16,0,,,,,سليم ظاهريًا,
تنظيم مؤسسة المسار الرياضي,15,15,0,,,,,سليم ظاهريًا,
تنظيم نادي سباقات الخيل,15,15,0,,,,,سليم ظاهريًا,
تنظيم وزارة الرياضة,5,5,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العليا للفروسية,15,15,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للهيئة السعودية للألعاب والرياضات الإلكترونية,16,16,0,,,,,سليم ظاهريًا,
تنظيم الهيئة الملكية لمحافظة العلا,20,20,0,,,,,سليم ظاهريًا,
تنظيم هيئة تطوير بوابة الدرعية,16,16,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,17,17,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية لجائزة الملك عبد العزيز للجودة,14,14,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية لمركز الفعاليات (المركز الوطني للفعاليات),13,13,0,,,,,سليم ظاهريًا,
تنظيم هيئة الهلال الأحمر السعودي,26,26,0,,,,,سليم ظاهريًا,
نظام الهيئة السعودية للتخصصات الصحية,7,7,0,,,,,سليم ظاهريًا,
نظام المختبرات الخاصة,17,17,0,,,,,سليم ظاهريًا,
النظام الصحي,19,19,0,,,,,سليم ظاهريًا,
نظام المؤسسات الصحية الخاصة,35,35,0,,,,,سليم ظاهريًا,
نظام وحدات الإخصاب والأجنة وعلاج العقم,41,41,0,,,,,سليم ظاهريًا,
نظام تداول بدائل حليب الأم,28,28,0,,,,,سليم ظاهريًا,
النظام الموحد لإدارة نفايات الرعاية الصحية بدول مجلس التعاون لدول الخليج العربية,23,23,0,,,,,سليم ظاهريًا,
نظام مزاولة المهن الصحية,44,44,0,,,,,سليم ظاهريًا,
نظام الهيئة العامة للغذاء والدواء,25,25,0,,,,,سليم ظاهريًا,
نظام أخلاقيات البحث على المخلوقات الحية,51,51,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للطب البديل والتكميلي,13,13,0,,,,,سليم ظاهريًا,
تنظيم صندوق مدينة الملك فهد الطبية,15,15,0,,,,,سليم ظاهريًا,
نظام المراقبة الصحية في منافذ الدخول,29,29,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي لزراعة الأعضاء,10,10,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للمعلومات الصحية,15,15,0,,,,,سليم ظاهريًا,
تنظيم نفقات المرضى السعوديين ومرافقيهم المحولين للعلاج خارج مناطق إقامتهم,12,12,0,,,,,سليم ظاهريًا,
تنظيم المدن الطبية والمستشفيات التخصصية التابعة لوزارة الصحة,12,12,0,,,,,سليم ظاهريًا,
نظام الرعاية الصحية النفسية,30,30,0,,,,,سليم ظاهريًا,
نظام الغذاء,45,45,0,,,,,سليم ظاهريًا,
نظام منتجات التجميل,38,38,0,,,,,سليم ظاهريًا,
نظام مكافحة التدخين,20,20,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي لاعتماد المنشآت الصحية,10,10,0,,,,,سليم ظاهريًا,
نظام الوقاية من متلازمة العوز المناعي المكتسب (الإيدز) وحقوق المصابين وواجباتهم,29,29,0,,,,,سليم ظاهريًا,
لائحة البحوث والدراسات في وزارة الصحة,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لتعزيز الصحة النفسية,13,13,0,,,,,سليم ظاهريًا,
نظام المنشآت والمستحضرات الصيدلانية والعشبية,42,42,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي لسلامة المرضى,13,13,0,,,,,سليم ظاهريًا,
نظام الأجهزة والمستلزمات الطبية,49,49,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية لهيئة الصحة العامة,13,13,0,,,,,سليم ظاهريًا,
نظام التبرع بالأعضاء البشرية,27,27,0,,,,,سليم ظاهريًا,
النظام الأساس لمستشفى الملك فيصل التخصصي ومركز الأبحاث (مؤسسة مستقلة ذات طبيعة خاصة وغير هادفة للربح),21,21,0,,,,,سليم ظاهريًا,
نظام حماية وتشجيع الصناعات الوطنية,11,11,0,,,,,سليم ظاهريًا,
نظام صندوق التنمية الصناعية السعودي,14,14,0,,,,,سليم ظاهريًا,
تنظيم الهيئة الملكية للجبيل وينبع,12,12,0,,,,,سليم ظاهريًا,
نظام المعادن الثمينة والأحجار الكريمة,22,22,0,,,,,سليم ظاهريًا,
التنظيم الخاص بهيئة المساحة الجيولوجية السعودية,16,16,0,,,,,سليم ظاهريًا,
تنظيم الهيئة السعودية للمدن الصناعية ومناطق التقنية,26,26,0,,,,,سليم ظاهريًا,
قانون (نظام) التنظيم الصناعي الموحد لدول مجلس التعاون لدول الخليج العربية,33,33,0,,,,,سليم ظاهريًا,
تنظيم هيئة تنظيم الكهرباء والإنتاج المزدوج,21,21,0,,,,,سليم ظاهريًا,
التنظيم الخاص بمركز الدراسات والبحوث البترولية,16,16,0,,,,,سليم ظاهريًا,
نظام مدينة الملك عبدالله للطاقة الذرية والمتجددة,17,17,0,,,,,سليم ظاهريًا,
القانون (النظام) الموحد للتعدين لدول مجلس التعاون,62,62,0,,,,,سليم ظاهريًا,
النظام الموحد بشأن المواد المستنفدة لطبقة الأوزون لدول مجلس التعاون لدول الخليج العربية (المعدل),20,20,0,,,,,سليم ظاهريًا,
نظام توزيع الغاز الجاف وغاز البترول السائل للأغراض السكنية والتجارية,21,21,0,,,,,سليم ظاهريًا,
نظام التجارة بالمنتجات البترولية,16,16,0,,,,,سليم ظاهريًا,
تـنظيم هيـئـة الرقابة النوويـة والإشعـاعـية,15,15,0,,,,,سليم ظاهريًا,
نظام المواد الهيدروكربونية,30,30,0,,,,,سليم ظاهريًا,
نظام الرقابة على الاستخدامات النووية والاشعاعية,35,35,0,,,,,سليم ظاهريًا,
نظام المسؤولية المدنية عن الأضرار النووية,31,31,0,,,,,سليم ظاهريًا,
تنظيم المركز السعودي لكفاءة الطاقة,14,14,0,,,,,سليم ظاهريًا,
نــظام الاستــثمار التعديني.,64,64,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للتنمية الصناعية,15,15,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للمساحة والمعلومات الجيومكانية,17,17,0,,,,,سليم ظاهريًا,
نظام الكهرباء,23,23,0,,,,,سليم ظاهريًا,
تنظيم هيئة تنظيم المياه والكهرباء,20,20,0,,,,,سليم ظاهريًا,
نظام إمدادات الطاقة,12,12,0,,,,,سليم ظاهريًا,
نظام الضمان الصحي التعاوني,19,19,0,,,,,سليم ظاهريًا,
تنظيم صندوق تنمية الموارد البشرية,9,9,0,,,,,سليم ظاهريًا,
نظام التأمينات الاجتماعية,71,71,0,,,,,سليم ظاهريًا,
نظام رعاية المعوقين,16,16,0,,,,,سليم ظاهريًا,
نظام العمل,248,248,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية لمراكز التنمية الاجتماعية,20,20,0,,,,,سليم ظاهريًا,
نظام الجمعيات التعاونية,44,44,0,,,,,سليم ظاهريًا,
الضوابط الخاصة بوضع الأطفال السعوديين في الخارج من أب سعودي وأم غير سعودية,6,6,0,,,,,سليم ظاهريًا,
تنظيم الصندوق الخيري الاجتماعي,14,14,0,,,,,سليم ظاهريًا,
تنظيم إعانة البحث عن عمل 1432هـ,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني للدراسات والبحوث الاجتماعية,11,11,0,,,,,سليم ظاهريًا,
نظام الحماية من الإيذاء,17,17,0,,,,,سليم ظاهريًا,
نظام التأمين ضد التعطل عن العمل,29,29,0,,,,,سليم ظاهريًا,
تنظيم المخصص المالي لصعوبة الحصول على عمل,16,16,0,,,,,سليم ظاهريًا,
اللائحة الأساسية لبرامج تأهيل المعوقين,30,30,0,,,,,سليم ظاهريًا,
نظام الجمعيات والمؤسسات الأهلية,44,44,0,,,,,سليم ظاهريًا,
نظام الهيئة العامة للأوقاف,25,25,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية لتأشيرات الأعمال المؤقتة والموسمية,19,19,0,,,,,سليم ظاهريًا,
اللائحة الأساسية للبيوت الاجتماعية,16,16,0,,,,,سليم ظاهريًا,
لائحة عمال الخدمة المنزلية ومن في حكمهم,23,23,0,,,,,سليم ظاهريًا,
لائحة دور الرعاية الاجتماعية,13,13,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لضبط أعمال تفتيش العمل وتنظيمها,24,24,0,,,,,سليم ظاهريًا,
تنظيم مجلس شؤون الأسرة,12,12,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية لعمل الأسر المنتجة,17,17,0,,,,,سليم ظاهريًا,
قواعد التعامل مع الوافدين من مخالفي الأنظمة,14,14,0,,,,,سليم ظاهريًا,
تنظيم هيئة رعاية الأشخاص ذوي الإعاقة,17,17,0,,,,,سليم ظاهريًا,
نظام الأحداث,24,24,0,,,,,سليم ظاهريًا,
نظام العمل التطوعي,18,18,0,,,,,سليم ظاهريًا,
نظام الضمان الاجتماعي,26,26,0,,,,,سليم ظاهريًا,
اللائحة التنفيذية لنظام الأحداث,13,13,0,,,,,سليم ظاهريًا,
اللائحة التنظيمية لدور الأحداث,36,36,0,,,,,سليم ظاهريًا,
نظام حقوق كبير السن ورعايته,23,23,0,,,,,سليم ظاهريًا,
نظام حقوق الأشخاص ذوي الإعاقة,33,33,0,,,,,سليم ظاهريًا,
نظام جباية الزكاة,4,4,0,,,,,سليم ظاهريًا,
نظام مراقبة البنوك,26,26,0,,,,,سليم ظاهريًا,
نظام ديوان المراقبة العامة,33,33,0,,,,,سليم ظاهريًا,
نظام (قانون) الجمارك الموحد لدول مجلس التعاون لدول الخليج العربية,179,179,0,,,,,سليم ظاهريًا,
نظام ضريبة الدخل,81,81,0,,,,,سليم ظاهريًا,
نظام تعريفة الطيران المدني,21,21,0,,,,,سليم ظاهريًا,
نظام الإيداع في المخازن العامة,28,28,0,,,,,سليم ظاهريًا,
نظام البنك السعودي للتسليف والادخار ( بنك التنمية الاجتماعية ),18,18,0,,,,,سليم ظاهريًا,
نظام المنافسات والمشتريات الحكومية,81,81,0,,,,,سليم ظاهريًا,
نظام المعلومات الائتمانية,17,17,0,,,,,سليم ظاهريًا,
نظام النقد العربى السعودى,15,15,0,,,,,سليم ظاهريًا,
نظام رسوم تسجيل السفن والوحدات العائمة,4,4,0,,,,,سليم ظاهريًا,
تنظيم الجمعية السعودية للمراجعين الداخليين,15,15,0,,,,,سليم ظاهريًا,
نظام إيرادات الدولة,32,32,0,,,,,سليم ظاهريًا,
تنظيم الهيئة الوطنية لمكافحة الفساد,17,17,0,,,,,سليم ظاهريًا,
نظام التمويل العقاري,15,15,0,,,,,سليم ظاهريًا,
نظام الايجار التمويلي,28,28,0,,,,,سليم ظاهريًا,
نظام مراقبة شركات التمويل,40,40,0,,,,,سليم ظاهريًا,
نظام الرهن العقاري المسجل,46,46,0,,,,,سليم ظاهريًا,
نظام وظائف مباشرة الأموال العامة,15,15,0,,,,,سليم ظاهريًا,
تنظيم المركز الوطني لقياس أداء الأجهزة العامة,17,17,0,,,,,سليم ظاهريًا,
تنظيم بنك التصدير والاستيراد السعودي,15,15,0,,,,,سليم ظاهريًا,
نظام البنك المركزي السعودي,27,27,0,,,,,سليم ظاهريًا,
نظام نقابة السيارات,64,64,0,,,,,سليم ظاهريًا,
نظام حماية خطوط السكك الحديدية,5,5,0,,,,,سليم ظاهريًا,
نظام المؤسسة العامة للخطوط الجوية العربية السعودية,13,13,0,,,,,سليم ظاهريًا,
نظام الموانئ والمرافئ والمنائر البحرية,8,8,0,,,,,سليم ظاهريًا,
نظام المؤسسة العامة للموانئ السعودية,16,16,0,,,,,سليم ظاهريًا,
نظام النقل العام على الطرق بالمملكة العربية السعودية,24,24,0,,,,,سليم ظاهريًا,
نظام البريد 1406هـ,23,23,0,,,,,سليم ظاهريًا,
تنظيم هيئة الاتصالات وتقنية المعلومات,19,19,0,,,,,سليم ظاهريًا,
تنظيم مؤسسة البريد السعودي,16,16,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للطيران المدني,14,14,0,,,,,سليم ظاهريًا,
نظام الطيران المدني,180,180,0,,,,,سليم ظاهريًا,
نظام مكافحة جرائم المعلوماتية,16,16,0,,,,,سليم ظاهريًا,
نظام التعاملات الإلكترونية,31,31,0,,,,,سليم ظاهريًا,
نظام المؤسسة العامة لخطوط حديد حكومة المملكة العربية السعودية,18,18,0,,,,,سليم ظاهريًا,
نظام النقل بالخطوط الحديدية,39,39,0,,,,,سليم ظاهريًا,
تنظيم هيئة النقل العام ( الهيئة العامة للنقل ),16,16,0,,,,,سليم ظاهريًا,
تنظيم الهيئة العامة للموانئ,20,20,0,,,,,سليم ظاهريًا,
لائحة إنشاء الطرق من قبل الأهالي والشركات,6,6,0,,,,,سليم ظاهريًا,
تنظيم المنطقة الخاصة اللوجستية المتكاملة,21,21,0,,,,,سليم ظاهريًا,
النظام البحري التجاري,391,391,0,,,,,سليم ظاهريًا,
لائحة حقوق والتزامات مستخدمي وسائل النقل العام,21,21,0,,,,,سليم ظاهريًا,
ضوابط استخدام تقنيات المعلومات والاتصالات في الجهات الحكومية,9,9,0,,,,,سليم ظاهريًا,
تنظيم هيئة الحكومة الرقمية,18,18,0,,,,,سليم ظاهريًا,
تنظيم مجلس المحتوى الرقمي,14,14,0,,,,,سليم ظاهريًا,
نظام البريد,37,37,0,,,,,سليم ظاهريًا,
نظام الاتصالات وتقنية المعلومات,41,41,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للهيئة العامة للطرق,14,14,0,,,,,سليم ظاهريًا,
الترتيبات التنظيمية للمركز الوطني لسلامة النقل,14,14,0,,,,,سليم ظاهريًا,
تنظيم وكالة الفضاء السعودية,13,13,0,,,,,سليم ظاهريًا,
