hakeem_article_number,production_title,number_parsed_from_title,production_article_id,seed_number_parsed_from_title,present_in_seed,bm25_code,normalized_text_sha256_16,text_excerpt,issue,severity,recommended_action
156,المادة السادسة والخمسون بعد المائة,156,cmpwidg27028vnxffdq8keumn,156,نعم,a1416,17cf8fec5b63beb0,يلتزم الفضولي برد ما حصل لديه بسبب الفضالة وبتقديم حسابٍ عما قام به للمنتفع.,مطابق,—,لا إجراء
157,المادة السابعة والخمسون بعد المائة,157,cmpwidge1028xnxffvtfmb5vt,157,نعم,a1417,25bbcd4c426d0d05,يعدُّ الفضولي نائبًا عن المنتفع إذا كان قد بذل في قيامه بالعمل عناية الشخص المعتاد ولو لم تتحقق النتيجة المرجوة، وعلى ال,مطابق,—,لا إجراء
158,المادة الثامنة والخمسون بعد المائة,158,cmpwidgqd028znxffzsc3ecs4,158,نعم,a1418,535777f2abcf957b,إذا مات الفضولي، وجب على ورثته -إذا توفرت فيهم الأهلية- أو نائبهم وكانوا على علم بالفضالة؛ أن يبادروا بإعلام المنتفع بمو,مطابق,—,لا إجراء
159,المادة التاسعة والخمسون بعد المائة,159,cmpwidh280291nxff3o210cmt,159,نعم,a1419,268f21f019caf7c0,لا تُسمع الدعوى الناشئة عن الإثراء بلا سبب أو دفع غير المستحق أو الفضالة بانقضاء (ثلاث) سنوات من تاريخ علم الدائن بحقه. ,مطابق,—,لا إجراء
160,المادة الستون بعد المائة,160,cmpwidhe20293nxffr3ylfg4l,160,نعم,a1420,9a73ad9c779f3f08,الالتزامات التي تنشأ مباشرةً عن النظام وحده تسري عليها النصوص النظامية التي أنشأتها. الباب الثاني: آثار الالتزام,مطابق,—,لا إجراء
161,المادة الحادية والستون بعد المائة,161,cmpwidhpx0295nxffh5qw8e5k,161,نعم,a1421,dd47bc22cf9e4aa7,يجب على المدين تنفيذ التزامه عند استحقاقه، فإذا امتنع نفذ عليه جبرًا متى استوفى التنفيذ الجبري شروطه النظامية.,مطابق,—,لا إجراء
162,المادة الثانية والستون بعد المائة,162,cmpwidi1r0297nxffdo0u368j,162,نعم,a1422,f43c54b55358640d,إذا لم يستوف الالتزام الشروط النظامية لتنفيذه جبرًا يبقى قائمًا في ذمة المدين ديانةً، فإذا وفاه مختارًا كان وفاؤه صحيحًا,مطابق,—,لا إجراء
163,المادة الثالثة والستون بعد المائة,163,cmpwididm0299nxffuonbm6dx,163,نعم,a1423,c86b881e77ceefa4,الالتزام القائم ديانةً يُعدُّ أساسًا صالحًا لأن يبني عليه المدين التزامًا نظاميًّا. الفصل الأول: التنفيذ العيني,مطابق,—,لا إجراء
164,المادة الرابعة والستون بعد المائة,164,cmpwidiph029bnxffkokp9mu1,164,نعم,a1424,01c19430881ae791,يُجبَر المدين بعد إعذاره على تنفيذ التزامه تنفيذًا عينيًّا متى كان ذلك ممكنًا. إذا كان في التنفيذ العيني إرهاقٌ للمدين ج,مطابق,—,لا إجراء
165,المادة الخامسة والستون بعد المائة,165,cmpwidj1a029dnxffbkh86gmk,165,نعم,a1425,dd8008cc9f78667e,إذا تعلق الحق بشيء معين بالنوع لا بالذات، فإنه لا يختص بشيء بذاته من ذلك النوع إلا بإفرازه. إذا لم يقم المدين بتنفيذ الت,مطابق,—,لا إجراء
166,المادة السادسة والستون بعد المائة,166,cmpwidjd5029fnxffdxpqwlg1,166,نعم,a1426,4b12418f9a8f9cdb,الالتزام بنقل حق عيني يتضمن الالتزام بتسليم الشيء والمحافظة عليه حتى تسليمه، فإذا لم يقم المدين بتسليمه حتى هلك أو تلف ك,مطابق,—,لا إجراء
167,المادة السابعة والستون بعد المائة,167,cmpwidjp0029hnxff1fjlu3xh,167,نعم,a1427,a05a6c76a94585ca,إذا كان الالتزام بعمل فتسري على تنفيذه الأحكام الآتية: أ- إذا نص الاتفاق أو اقتضت طبيعة العمل أن ينفذ المدين الالتزام بن,مطابق,—,لا إجراء
168,المادة الثامنة والستون بعد المائة,168,cmpwidk0u029jnxffrus32x64,168,نعم,a1428,f48dd56d2c9e42ad,إذا كان المطلوب من المدين هو المحافظة على الشيء أو القيام بإدارته أو توخي الحيطة في تنفيذ التزامه، فإنه يكون قد وفى بالا,مطابق,—,لا إجراء
169,المادة التاسعة والستون بعد المائة,169,cmpwidkcq029lnxffrkmv9ko4,169,نعم,a1429,9b82d06745675970,إذا التزم المدين بالامتناع عن عمل وأخل بهذا الالتزام، كان للدائن أن يطلب إزالة ما وقع مخالفًا للالتزام مع التعويض إذا كا,مطابق,—,لا إجراء
170,المادة السبعون بعد المائة,170,cmpwidkom029nnxffpvxkstih,170,نعم,a1430,2a34e93a936ff353,يحكم على المدين بالتعويض لعدم الوفاء إذا استحال التنفيذ عينًا، بما في ذلك أن يتأخر فيه المدين حتى يصبح غير مجدٍ للدائن. ,مطابق,—,لا إجراء
171,المادة الحادية والسبعون بعد المائة,171,cmpwidl0g029pnxffhrgyqfa9,171,نعم,a1431,03a2e9756de98e5e,إذا تأخر المدين في تنفيذ التزامه وجب عليه تعويض الدائن عما يلحقه من ضرر بسبب التأخير، ما لم يثبت أن تأخير الوفاء بسبب لا,مطابق,—,لا إجراء
172,المادة الثانية والسبعون بعد المائة,172,cmpwidlca029rnxffyvpgtyf8,172,نعم,a1432,3e4446c70cdcba64,إذا اشترك الدائن بخطئه في إحداث الضرر الناشئ عن عدم التنفيذ أو التأخر فيه أو زاد في ذلك الضرر، فتطبق أحكام المادة (الثام,مطابق,—,لا إجراء
173,المادة الثالثة والسبعون بعد المائة,173,cmpwidlo4029tnxffxmhgj1l9,173,نعم,a1433,7f235bf96137ca3f,يجوز الاتفاق على إعفاء المدين من التعويض عن الضرر الناشئ عن عدم تنفيذ التزامه التعاقدي أو تأخره فيه، إلا ما يكون عن غش أ,مطابق,—,لا إجراء
174,المادة الرابعة والسبعون بعد المائة,174,cmpwidlzz029vnxffwtz2bvqw,174,نعم,a1434,395457099eaa68eb,يجوز الاتفاق على أن يتحمل المدين تبعة القوة القاهرة.,مطابق,—,لا إجراء
175,المادة الخامسة والسبعون بعد المائة,175,cmpwidmbu029xnxff95nn8irl,175,نعم,a1435,341978ab373600cd,لا يُستحق التعويض إلا بعد إعذار المدين؛ ما لم يوجد اتفاق أو نص نظامي بخلاف ذلك.,مطابق,—,لا إجراء
176,المادة السادسة والسبعون بعد المائة,176,cmpwidmnp029znxffrtdzl9cw,176,نعم,a1436,0f4288885aa6f61b,لا يشترط إعذار المدين في الحالات الآتية: أ- إذا اتفق الطرفان صراحة أو ضمنًا على عَدِّ المدين معذرًا بمجرد حلول الأجل. ب-,مطابق,—,لا إجراء
177,المادة السابعة والسبعون بعد المائة,177,cmpwidmzk02a1nxffc5ehx5w1,177,نعم,a1437,b68e483110ac0aec,يكون الإعذار بأي وسيلة متفق عليها بين المتعاقدين، أو بأي وسيلة مقررة نظامًا للتبليغ، بما في ذلك رفع الدعوى أو أي إجراء ق,مطابق,—,لا إجراء
178,المادة الثامنة والسبعون بعد المائة,178,cmpwidnbe02a3nxfflsc4qnxk,178,نعم,a1438,ba8aaf8f382328c0,يجوز للمتعاقدين أن يحددا مقدمًا مقدار التعويض بالنص عليه في العقد أو في اتفاقٍ لاحقٍ؛ ما لم يكن محل الالتزام مبلغًا نقدي,مطابق,—,لا إجراء
179,المادة التاسعة والسبعون بعد المائة,179,cmpwidnt402a5nxff25apx50j,179,نعم,a1439,3a080bd7a07b7854,لا يكون التعويض الاتفاقيُّ مستحَقًّا إذا أثبت المدين أن الدائن لم يلحقه أي ضرر. للمحكمة بناءً على طلب المدين أن تنقص هذا,مطابق,—,لا إجراء
180,المادة الثمانون بعد المائة,180,cmpwido4y02a7nxffwosg0os8,180,نعم,a1440,995bca6d1f71c260,إذا لم يكن التعويض مقدرًا في العقد أو بنص نظامي؛ قدرته المحكمة وفقًا لأحكام المواد (السادسة والثلاثين بعد المائة) و(السا,مطابق,—,لا إجراء
181,المادة الحادية والثمانون بعد المائة,181,cmpwidogt02a9nxfflf74rf0s,181,نعم,a1441,c95876a0f14bf2fd,أموال المدين جميعها ضامنةٌ للوفاء بديونه، وجميع الدائنين متساوون في هذا الضمان، ولا أولوية لأحدهم إلا بنص نظامي. يجوز ال,مطابق,—,لا إجراء
182,المادة الثانية والثمانون بعد المائة,182,cmpwidosn02abnxffp9jb3zf9,182,نعم,a1442,187d73859a45590c,لكل دائنٍ ولو لم يكن حقه مستحق الأداء أن يستعمل حقوق مدينه إلا ما كان منها متصلًا بشخصه خاصةً أو غير قابلٍ للحجز، وذلك إ,مطابق,—,لا إجراء
183,المادة الثالثة والثمانون بعد المائة,183,cmpwidp4h02adnxffp6wg183s,183,نعم,a1443,1c4d31e679b8fa6f,إذا تصرف المدين تصرفًا ترتبت عليه زيادة ديونه على أمواله، فلكل دائن كان حقه مستحق الأداء وتضرر من التصرف طلب منع نفاذ هذ,مطابق,—,لا إجراء
184,المادة الرابعة والثمانون بعد المائة,184,cmpwidpgb02afnxffsvjbpzsl,184,نعم,a1444,0e6da9efa08d091e,لكل من تلقى حقًّا من المدين الذي أحاطت ديونه بأمواله أن يتخلص من دعوى منع نفاذ التصرف إذا أودع عوض المثل لدى الجهة التي ,مطابق,—,لا إجراء
185,المادة الخامسة والثمانون بعد المائة,185,cmpwidps602ahnxffzc5lpfya,185,نعم,a1445,3b50b7abe0ddb252,إذا تصرف المدين الذي أحاطت ديونه بأمواله تصرفًا لم يقصد منه إلا تفضيل دائن على آخر دون حق، فلا يترتب على ذلك إلا حرمان ا,مطابق,—,لا إجراء
186,المادة السادسة والثمانون بعد المائة,186,cmpwidq4002ajnxffzapcapq3,186,نعم,a1446,8a4356aebc26dc0c,إذا ادعى الدائن إحاطة الدين بمال المدين فليس على الدائن إلا أن يثبت مقدار ما في ذمة المدين من ديون حالة، وللمدين أن يدفع,مطابق,—,لا إجراء
187,المادة السابعة والثمانون بعد المائة,187,cmpwidqfv02alnxffh8186mbg,187,نعم,a1447,fdbb735db12fe82d,إذا قُضي بعدم نفاذ تصرف المدين الذي أحاطت ديونه بأمواله؛ استفاد من ذلك جميع الدائنين الذين يضارون بهذا التصرف.,مطابق,—,لا إجراء
188,المادة الثامنة والثمانون بعد المائة,188,cmpwidqrq02annxffh26e1ud2,188,نعم,a1448,c5a9fd5f8808c895,لا تُسمع دعوى عدم نفاذ التصرف بانقضاء (سنة) من تاريخ علم الدائن بسبب عدم النفاذ، ولا تُسمع الدعوى في جميع الأحوال بانقضا,مطابق,—,لا إجراء
189,المادة التاسعة والثمانون بعد المائة,189,cmpwidr3k02apnxfft114zp7i,189,نعم,a1449,8fe8cf0a9f9b8ced,إذا أبرم عقد صوري، فلدائني المتعاقدين وللخلف الخاص متى كانوا حسني النية، أن يتمسكوا بالعقد الصوري، ولهم أيضًا أن يتمسكوا,مطابق,—,لا إجراء
190,المادة التسعون بعد المائة,190,cmpwidrfe02arnxffae0jenb8,190,نعم,a1450,f45f9e6f98d6b451,إذا ستر المتعاقدان عقدًا حقيقيًّا بعقد ظاهر فالعقد النافذ فيما بين المتعاقدين والخلف العام هو العقد الحقيقي. الفرع الثال,مطابق,—,لا إجراء
191,المادة الحادية والتسعون بعد المائة,191,cmpwidrr802atnxffqk8iuz9k,191,نعم,a1451,67dad9b49136e388,لكل من التزم بأداء شيءٍ أن يمتنع عن الوفاء به ما دام الدائن لم يوف بالتزام في ذمته نشأ بسبب التزام المدين وكان مرتبطًا ب,مطابق,—,لا إجراء
192,المادة الثانية والتسعون بعد المائة,192,cmpwids3302avnxffmzr4h4bq,192,نعم,a1452,9ccd87acc0747b7a,لكل من أنفق على ملك غيره نفقاتٍ ضروريَّة أو نافعة وهو تحت يده بطريق مشروع أن يحبسه حتى يسترد ما هو مستحقٌّ له.,مطابق,—,لا إجراء
193,المادة الثالثة والتسعون بعد المائة,193,cmpwidsex02axnxffqe1t2ygs,193,نعم,a1453,f61164d1b8ff4005,من حبس شيئًا فعليه أن يحافظ عليه وأن يقدم حسابًا عن غلته. إذا كان الشيء المحبوس يخشى عليه من الهلاك أو التلف، أو طالت مد,مطابق,—,لا إجراء
194,المادة الرابعة والتسعون بعد المائة,194,cmpwidsqr02aznxff5dux1xjs,194,نعم,a1454,ad9c8ecc1e90c969,الحق في حبس الشيء لا يجعل للحابس أولوية في استيفاء حقه منه.,مطابق,—,لا إجراء
195,المادة الخامسة والتسعون بعد المائة,195,cmpwidt2l02b1nxff5gc3xp3z,195,نعم,a1455,78f713aa00a54a1f,ينقضي الحق في الحبس بهلاك الشيء المحبوس، أو استيفاء الحابس حقه من مدينه، أو خروج الشيء من يد حابسه. لحابس الشيء إذا خرج ,مطابق,—,لا إجراء
196,المادة السادسة والتسعون بعد المائة,196,cmpwidtef02b3nxffyc4ihin5,196,نعم,a1456,af06c1da721139d6,تسري على إعسار المدين النصوص النظامية الخاصة به. الباب الثالث: الأوصاف العارضة على الالتزام الفصل الأول: الشرط والأجل ال,مطابق,—,لا إجراء
197,المادة السابعة والتسعون بعد المائة,197,cmpwidtqa02b5nxff227ucvwp,197,نعم,a1457,4c8438b5bd42fcac,يكون الالتزام معلَّقًا على شرطٍ إذا كان وجوده أو زواله مترتِّبًا على أمرٍ مستقبلٍ محتمل الوقوع.,مطابق,—,لا إجراء
198,المادة الثامنة والتسعون بعد المائة,198,cmpwidu2402b7nxffwr1ve3g6,198,نعم,a1458,b7a5f8982f606a42,إذا علق الالتزام على أمر واقع عد الالتزام ناجزًا، وإذا علق على أمر مستحيل عد الشرط باطلًا، ويبطل الالتزام الذي علق عليه.,مطابق,—,لا إجراء
199,المادة التاسعة والتسعون بعد المائة,199,cmpwidue402b9nxffx6uiumyt,199,نعم,a1459,b9524adba33d801c,لا ينشأ الالتزام إذا عُلق على شرطٍ يكون القصد من التعليق عليه الحض على أمر غير مشروع.,مطابق,—,لا إجراء
200,المادة المائتان,200,cmpwidupy02bbnxffwaz71tdh,200,نعم,a1460,0889f780993d72f2,لا يكون الالتزام قائمًا إذا علق على شرط واقف يجعل وجود الالتزام متوقفًا على محض إرادة الملتزم.,مطابق,—,لا إجراء
201,المادة الأولى بعد المائتين,201,cmpwidv1t02bdnxffy5dj8c1v,201,نعم,a1461,3ef1cc020734b284,لا يكون الالتزام المعلق على شرط واقف نافذًا إلا إذا تحقق الشرط المعلق عليه، ولا يكون الالتزام قبل تحقق الشرط قابلًا للتن,مطابق,—,لا إجراء
202,المادة الثانية بعد المائتين,202,cmpwidvdo02bfnxffxee6r83n,202,نعم,a1462,c30b79182d4f7420,يترتب على تحقق الشرط الفاسخ زوال الالتزام، ويلزم الدائن رد ما أخذه، فإذا استحال الرد لسبب هو مسؤولٌ عنه لزمه التعويض، وت,مطابق,—,لا إجراء
203,المادة الثالثة بعد المائتين,203,cmpwidvpo02bhnxffz2qdsjof,203,نعم,a1463,b237c0ce7c06a552,إذا تحقق الشرط استند أثره إلى الوقت الذي نشأ فيه الالتزام إلا إذا تبين من إرادة المتعاقدين أو من طبيعة العقد أن وجود الا,مطابق,—,لا إجراء
204,المادة الرابعة بعد المائتين,204,cmpwidx8302bjnxff4sjt5n8b,204,نعم,a1464,ea12a3887c20e84f,يكون الالتزام لأجل إذا كان نفاذه أو انقضاؤه مترتبًا على أمر مستقبل محقق الوقوع. الالتزام المضاف إلى أجل لا يكون نافذًا إ,مطابق,—,لا إجراء
205,المادة الخامسة بعد المائتين,205,cmpwidxwd02blnxffjuo6q2ff,205,نعم,a1465,16ddca499f50fedc,يسقط حق المدين في الأجل إذا حكم بإعساره، أو لم يقدم ضمانات الدين المتفق عليها، أو نقصت تلك الضمانات بفعله أو بسبب لا يد ,مطابق,—,لا إجراء
206,المادة السادسة بعد المائتين,206,cmpwidy8j02bnnxff439fatxj,206,نعم,a1466,679cdf190f2f51a8,يجوز تعجيل الوفاء بالدين ممن كان الأجل لمصلحته ما لم يلحق التعجيل ضررًا بالطرف الآخر. عند الشك في كون الأجل لمصلحة المدي,مطابق,—,لا إجراء
207,المادة السابعة بعد المائتين,207,cmpwidykp02bpnxff0jozotzf,207,نعم,a1467,dddf30fc5b2403e1,لا يحل الدين المؤجل بموت الدائن، ويحل بموت المدين إلا إذا كان الدين موثَّقًا بضمانٍ عينيٍّ أو قدم الورثة ضمانًا كافيًا ع,مطابق,—,لا إجراء
208,المادة الثامنة بعد المائتين,208,cmpwidywv02brnxff7yzi9gku,208,نعم,a1468,cf24b80c7bccf201,إذا سقط حق المدين في الأجل وفقًا لما تقضي به النصوص النظامية، وتبين أنَّ للأجل أثرًا في زيادة مقدار الدين عند إنشاء العق,مطابق,—,لا إجراء
209,المادة التاسعة بعد المائتين,209,cmpwidz9202btnxff265628eu,209,نعم,a1469,0dbd2d564c83f62b,إذا تبيّن من الاتفاق أن الوفاء لا يكون إلا حين الميسرة، حددت المحكمة أجلًا يكون مظنة للقدرة على الوفاء مراعيةً في ذلك مو,مطابق,—,لا إجراء
210,المادة العاشرة بعد المائتين,210,cmpwidzl702bvnxffyszyl249,210,نعم,a1470,92a421513397fe1d,يكون الالتزام تخييريًّا إذا شمل محله أشياء متعددة تبرأ ذمة المدين متى أدى واحدًا منها، ويكون الخيار للمدين ما لم يوجد ات,مطابق,—,لا إجراء
211,المادة الحادية عشرة بعد المائتين,211,cmpwidzxe02bxnxffldl4cwpt,211,نعم,a1471,309fba8ec7d4d1fb,يكون الالتزام بدليًّا إذا لم يشمل محله إلا شيئًا واحدًا، مع حق المدين أن يؤدي بدلًا منه شيئًا آخر. الأصل لا البدل هو وحد,مطابق,—,لا إجراء
212,المادة الثانية عشرة بعد المائتين,212,cmpwie09l02bznxffnno0k1iy,212,نعم,a1472,ab493d95435415a4,لا يكون التضامن بين الدائنين إلا باتفاقٍ أو بنص نظامي.,مطابق,—,لا إجراء
213,المادة الثالثة عشرة بعد المائتين,213,cmpwie0lr02c1nxffbs9bbrro,213,نعم,a1473,3c604a6c6f09c49d,للدائنين المتضامنين مجتمعين أو منفردين مطالبة المدين بكل الدين. للمدين أن يعترض على مطالبة أحد دائنيه المتضامنين بأوجه ا,مطابق,—,لا إجراء
214,المادة الرابعة عشرة بعد المائتين,214,cmpwie0xx02c3nxffgpam2i4w,214,نعم,a1474,8833c3a8cd720efe,كل ما يستوفيه أحد الدائنين المتضامنين يكون من حقهم جميعًا، ويتحاصون فيه إلا إذا قضى نص نظامي أو وجد اتفاق بخلاف ذلك.,مطابق,—,لا إجراء
215,المادة الخامسة عشرة بعد المائتين,215,cmpwie1a302c5nxff73aa2357,215,نعم,a1475,79072f2e8cfc2585,للمدين أن يوفي دينه لأي من الدائنين المتضامنين إلا إذا أعذره أحدهم بعدم وفاء نصيبه لدائن معين ولم يترتب على ذلك ضرر بالم,مطابق,—,لا إجراء
216,المادة السادسة عشرة بعد المائتين,216,cmpwie1ma02c7nxffzp67kgsu,216,نعم,a1476,8e89f2c34cac54f7,إذا برئت ذمة المدين تجاه أحد الدائنين المتضامنين بسبب غير الوفاء فلا تبرأ ذمته تجاه باقي الدائنين إلا بقدر حصة ذلك الدائ,مطابق,—,لا إجراء
217,المادة السابعة عشرة بعد المائتين,217,cmpwie1yf02c9nxffw0f8xnex,217,نعم,a1477,0d9b270f4e3ee6fa,إذا قام أحد الدائنين المتضامنين بعمل من شأنه الإضرار بالدائنين الآخرين لم ينفذ هذا العمل في حقهم.,مطابق,—,لا إجراء
218,المادة الثامنة عشرة بعد المائتين,218,cmpwie2al02cbnxff9wd726wl,218,نعم,a1478,1856819fa35ec8e7,لا يحول تضامن الدائنين دون انقسام الدين بين ورثة أيٍّ منهم، وينتقل التضامن في الدين كله إلى كل وارث بقدر نصيبه من التركة,مطابق,—,لا إجراء
219,المادة التاسعة عشرة بعد المائتين,219,cmpwie2mr02cdnxffy5wab02e,219,نعم,a1479,3f4ebef56a425296,يكون الدين مشتركًا بين عدة دائنين إذا اتحد سببه، ويعد دينًا مشتركًا الدينُ الذي آل بالإرث إلى أكثر من وارث.,مطابق,—,لا إجراء
220,المادة العشرون بعد المائتين,220,cmpwie2yx02cfnxffnlm0vu3b,220,نعم,a1480,fef1401bb86f294a,لكل من الشركاء في الدين المشترك المطالبة بقدر حصته فيه، ولباقي الشركاء أن يشاركوه فيما قبض بنسبة حصة كلٍّ منهم، ويتبَعُو,مطابق,—,لا إجراء
221,المادة الحادية والعشرون بعد المائتين,221,cmpwie3b302chnxffwdq8g1ij,221,نعم,a1481,1a4c56731be56c12,إذا قبض أحد الشركاء حصته في الدين المشترك ثم تصرف فيها فللشركاء الآخرين أن يرجعوا عليه بأنصبتهم فيها، وإذا هلكت في يده ب,مطابق,—,لا إجراء
222,المادة الثانية والعشرون بعد المائتين,222,cmpwie3n902cjnxffwsv59aqz,222,نعم,a1482,d61679bddf1ef900,لا يكون التضامن بين المدينين إلا باتفاق أو بنص نظامي.,مطابق,—,لا إجراء
223,المادة الثالثة والعشرون بعد المائتين,223,cmpwie3zf02clnxffahmk34bm,223,نعم,a1483,aa04a7441a15936c,يتحقق التضامن بين المدينين ولو كان دين بعضهم مؤجلًا أو معلقًا على شرطٍ أو مرتبطًا بأي وصف مؤثرٍ فيه، وكان دين الآخرين من,مطابق,—,لا إجراء
224,المادة الرابعة والعشرون بعد المائتين,224,cmpwie4bl02cnnxff2h0r02xt,224,نعم,a1484,74d32d4ab62922ed,إذا وفى أحد المدينين المتضامنين الدين برئت ذمته وذمة باقي المدينين.,مطابق,—,لا إجراء
225,المادة الخامسة والعشرون بعد المائتين,225,cmpwie4nz02cpnxffus4j9yav,225,نعم,a1485,e20722778301396b,للدائن أن يطالب بدينه كل المدينين المتضامنين أو بعضهم، على أن يراعي في مطالبته ما في علاقته بكل مدين من وصف مؤثر في الدي,مطابق,—,لا إجراء
226,المادة السادسة والعشرون بعد المائتين,226,cmpwie50602crnxffqmfcpk3v,226,نعم,a1486,c6038cdd03bebde4,لا يجوز للمدين المتضامن أن يحتج بالمقاصة التي تقع بين الدائن ومدين متضامن آخر إلا بقدر حصة هذا المدين الآخر.,مطابق,—,لا إجراء
227,المادة السابعة والعشرون بعد المائتين,227,cmpwie5cb02ctnxff7sc7op57,227,نعم,a1487,580e4cc75f3e0a9f,إذا انقضت حصة أحد المدينين المتضامنين في الدين باتحاد الذمة؛ فإن الدين لا ينقضي بالنسبة إلى باقي المدينين إلا بقدر حصة ه,مطابق,—,لا إجراء
228,المادة الثامنة والعشرون بعد المائتين,228,cmpwie5oh02cvnxff02pobjm0,228,نعم,a1488,720455673ac17881,إذا أبرأ الدائن أحد المدينين المتضامنين من الدين فقط برئت ذمته وذمة الباقين بقدر حصته وبقي تضامنه. إذا أبرأ الدائن أحد ا,مطابق,—,لا إجراء
229,المادة التاسعة والعشرون بعد المائتين,229,cmpwie60n02cxnxff8yhlnmhc,229,نعم,a1489,8e64fdb3a3450690,في الأحوال التي يُبرئ فيها الدائن أحد المدينين المتضامنين سواء من الدين أو من التضامن، يكون لباقي المدينين عند الاقتضاء ,مطابق,—,لا إجراء
230,المادة الثلاثون بعد المائتين,230,cmpwie6cu02cznxffjifdwdfy,230,نعم,a1490,bce0217133bdd9e3,لا يفيد عدم سماع الدعوى لمرور الزمن بالنسبة إلى أحد المدينين المتضامنين باقي المدينين إلا بقدر حصة ذلك المدين. ليس للدائ,مطابق,—,لا إجراء
231,المادة الحادية والثلاثون بعد المائتين,231,cmpwie6p002d1nxff26cprdgi,231,نعم,a1491,48c843cb5b125270,لا يكون المدين المتضامن مسؤولًا في تنفيذ الالتزام إلا عن فعله. إذا أعذر الدائن المدين المتضامن أو طالبه قضاءً فلا أثر لذ,مطابق,—,لا إجراء
232,المادة الثانية والثلاثون بعد المائتين,232,cmpwie71602d3nxff8zhpg5qy,232,نعم,a1492,27a548077bd1857a,ينفذ الصلح الذي يعقده أحد المدينين المتضامنين مع الدائن على باقي المدينين، ما لم يرتب في ذمتهم التزامًا جديدًا أو زيادةً,مطابق,—,لا إجراء
233,المادة الثالثة والثلاثون بعد المائتين,233,cmpwie7dc02d5nxffo01bu7s8,233,نعم,a1493,6b11fcdea19f2614,لا يسري إقرار أحد المدينين المتضامنين بما عليه من الدين في حق باقي المدينين المتضامنين، ولا يضار باقي المدينين المتضامني,مطابق,—,لا إجراء
234,المادة الرابعة والثلاثون بعد المائتين,234,cmpwie7pi02d7nxffasel1jm0,234,نعم,a1494,75dd71d3922b0bdb,إذا وفى أحد المدينين المتضامنين أكثر من حصته في الدين فليس له أن يرجع فيما زاد على حصته على أي من الباقين إلا بقدر حصته،,مطابق,—,لا إجراء
235,المادة الخامسة والثلاثون بعد المائتين,235,cmpwie81q02d9nxffr8f22k4w,235,نعم,a1495,ef5590811a50e8ba,يكون الالتزام غير قابل للانقسام إذا ورد على محل لا يقبل أن ينقسم بطبيعته، أو تبين من الغرض الذي قصده المتعاقدان أن الالت,مطابق,—,لا إجراء
236,المادة السادسة والثلاثون بعد المائتين,236,cmpwie8dw02dbnxffv99q38ir,236,نعم,a1496,d78dedeb555e36a3,إذا تعدد المدينون في التزام غير قابل للانقسام كان كل منهم ملزمًا بوفاء الدين كاملًا، وللمدين الذي وفى بالدين حق الرجوع ع,مطابق,—,لا إجراء
237,المادة الثامنة والثلاثون بعد المائتين,238,cmpwie8q202ddnxffe56wm0vl,238,نعم,a1497,23d4d0225b89fea1,للدائن أن يحيل حقه إلى شخص آخر، وذلك ما لم تقتضِ النصوص النظامية أو الاتفاق أو طبيعة الالتزام خلاف ذلك، ولا يشترط لانعقا,الصف يحمل عنوان ونص المادة الرسمية 238 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 237
238,المادة التاسعة والثلاثون بعد المائتين,239,cmpwie98c02dfnxffpbqdkcje,239,نعم,a1498,30e8cae12c8e93e9,لا تصح حوالة الحق إلا بقدر ما يكون منه قابلًا للحجز.,الصف يحمل عنوان ونص المادة الرسمية 239 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 238
239,المادة الأربعون بعد المائتين,240,cmpwie9ki02dhnxffoepaqzjm,240,نعم,a1499,9a62a52ed941a233,لا تكون حوالة الحق نافذة تجاه المدين أو تجاه الغير إلا إذا قبلها المدين أو أُعلِم بها بأي وسيلة مقررة نظامًا، على أن نفا,الصف يحمل عنوان ونص المادة الرسمية 240 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 239
240,المادة الحادية والأربعون بعد المائتين,241,cmpwie9wo02djnxffxm3j7tuc,241,نعم,a1500,b754e8929d76114c,ينتقل الحق إلى المحال له بصفاته وتوابعه وضماناته.,الصف يحمل عنوان ونص المادة الرسمية 241 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 240
241,المادة الثانية والأربعون بعد المائتين,242,cmpwiea8v02dlnxff4hwwhrys,242,نعم,a1501,408bb14be8217208,إذا كانت الحوالة بعوض، لم يضمن المحيل إلا وجود الحق المحال به وقت انعقاد الحوالة، ما لم يتفق على خلاف ذلك. إذا كانت الحو,الصف يحمل عنوان ونص المادة الرسمية 242 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 241
242,المادة الثالثة والأربعون بعد المائتين,243,cmpwieal202dnnxffrvqrmydu,243,نعم,a1502,1b96a79533de45a1,لا يضمن المحيل يسار المدين إلا إذا وجد اتفاق خاص على هذا الضمان، وإذا ضمن المحيل يسار المدين لا ينصرف هذا الضمان إلا إلى,الصف يحمل عنوان ونص المادة الرسمية 243 (إزاحة +1),حرجة,استبدال العنوان والنص بالنص الرسمي للمادة 242
